source,algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
HalfCheetah-v5,0,0.0045978408947999,0.9604348315097522,0.1600630950299088,1024.0,,,,,,-346.0031708,103.5836225052522,-406.8684528220813,65.75448690464427,60.865282022081374,3
HalfCheetah-v5,0,0.0011075755969554,0.83603486968029,0.2723106603705575,512.0,,,,,,477.3364557666667,208.4791157344001,-348.4235989732149,44.62261118336761,825.7600547398815,3
HalfCheetah-v5,0,0.00094551690558,0.9758872864150864,0.1247666434561723,2048.0,,,,,,50.90120283333332,65.7300937166961,-206.100759749726,64.14593683843461,257.00196258305925,3
HalfCheetah-v5,0,0.0045619403703089,0.9764315467384348,0.2745980666664014,2048.0,,,,,,109.7929464,63.35084833640048,-406.5843482835944,99.0960084691614,516.3772946835944,3
HalfCheetah-v5,0,0.0023436053248649,0.9467997536544214,0.2468188288965864,1024.0,,,,,,192.5376973333333,159.43445122537776,-353.89158538923544,67.89394288076082,546.4292827225688,3
HalfCheetah-v5,0,0.0011031540846185,0.9527943539796472,0.270338158870253,128.0,,,,,,543.6925979333333,230.06712933701067,-405.34010009459615,65.55937005743941,949.0326980279292,3
HalfCheetah-v5,0,0.0030975086740081,0.9869896798279594,0.2282232695760991,1024.0,,,,,,-97.99857983333334,90.6420472178072,-527.8795018008525,67.81400324495552,429.8809219675191,3
HalfCheetah-v5,0,0.0019065648808868,0.8710507926018614,0.1475868013657033,128.0,,,,,,135.51694360000002,102.62723847276092,-345.6499830088199,44.36544390376093,481.1669266088199,3
HalfCheetah-v5,0,0.0007631311027589,0.9463906504665772,0.1241379446442903,128.0,,,,,,801.7484530333332,90.40940184320031,-306.1130492473439,59.033643520759824,1107.861502280677,3
HalfCheetah-v5,0,0.0090366974618322,0.8655558169098562,0.2930613450051311,2048.0,,,,,,-32.867160533333326,101.62093405549582,-575.4260646737604,47.69718693038592,542.558904140427,3
HalfCheetah-v5,0,0.0024644573549723,0.8897704066425408,0.1538462227879291,512.0,,,,,,-8.375362166666664,132.9149779486255,-323.35078276345,84.1702824556207,314.9754205967833,3
HalfCheetah-v5,0,0.0010049570646164,0.9166021531669448,0.215146624697031,512.0,,,,,,626.5950274333333,272.72839510381203,-38.18078595048527,76.63921400345843,664.7758133838187,3
HalfCheetah-v5,0,0.0002825508558924,0.9633303424929974,0.2954848319259964,1024.0,,,,,,341.61775503333337,336.7646312010973,-133.162468453437,62.48979606768574,474.7802234867704,3
HalfCheetah-v5,0,0.0001262828857716,0.9849042583818652,0.1509668906404145,1024.0,,,,,,347.57092816666665,114.2688612763746,-27.69385816782536,35.54199799909554,375.264786334492,3
HalfCheetah-v5,0,0.0042106435416361,0.9270494498297688,0.1737858800168004,1024.0,,,,,,86.1629269,168.76046418420728,-398.27803676905165,45.610182934751,484.44096366905177,3
HalfCheetah-v5,0,0.0025598858450746,0.9358647413560957,0.2785992727316466,1024.0,,,,,,32.234328899999994,143.63188348539478,-393.15099224352,55.81929228456156,425.3853211435199,3
HalfCheetah-v5,0,0.0001238463878308,0.8165373612818051,0.1942567253271312,128.0,,,,,,326.2907742666667,419.4294124578884,-159.7825977149308,41.79849600747466,486.0733719815975,3
HalfCheetah-v5,0,0.0002915844397796,0.8434707610043063,0.1058725849795461,512.0,,,,,,913.8011217333332,104.44517725177354,58.49392107504707,84.2413810182508,855.3072006582862,3
HalfCheetah-v5,0,0.0032293696936439,0.9562688717677228,0.2664838082478419,128.0,,,,,,-20.068225299999995,91.4548283839889,-555.3801106664597,54.797916204936,535.3118853664597,3
HalfCheetah-v5,0,0.0001106962602074,0.9505301171972996,0.2210218087139249,512.0,,,,,,427.009865,229.72721321139588,-345.1171433447767,52.12497488421824,772.1270083447766,3
HalfCheetah-v5,0,0.0069188772298107,0.8323688848543483,0.238439509885779,2048.0,,,,,,252.73572580000004,120.02172973310472,-352.6929396636154,56.29762210262828,605.4286654636154,3
HalfCheetah-v5,0,0.0016041144221147,0.8207470836096511,0.1086929384641037,1024.0,,,,,,640.9180153333333,164.2789341543861,-197.44953694992049,69.05720200550338,838.367552283254,3
HalfCheetah-v5,0,0.0002065156463321,0.9626766509322006,0.1223294351875645,128.0,,,,,,790.3351149333333,199.9619139764209,-311.9671927202224,35.451774273655964,1102.3023076535558,3
HalfCheetah-v5,0,0.0002606137142908,0.9220492978111384,0.2339601007800915,1024.0,,,,,,516.3541297999999,348.94662782984875,42.03797922435648,56.643893651638656,474.3161505756434,3
HalfCheetah-v5,0,0.0007466386347917,0.8843937480889855,0.1959074940793573,128.0,,,,,,543.8771058333333,223.6602760742468,-376.5246228003844,78.77799674473734,920.401728633718,3
HalfCheetah-v5,0,0.0017342550990154,0.888169721597229,0.2567695715186921,128.0,,,,,,-383.8452494,78.55074794538886,-411.42285493497394,79.24270856259896,27.577605534974012,3
HalfCheetah-v5,0,0.0001814264096721,0.8676614980022735,0.1671762272158709,2048.0,,,,,,578.0371756333333,48.97591141542242,-5.311824072270004,49.09089530462924,583.3489997056034,3
HalfCheetah-v5,0,0.0067633565814877,0.87641517023245,0.2174542193535204,512.0,,,,,,-282.8470521,96.96536703238569,-470.9120323529564,83.64948476626715,188.06498025295647,3
HalfCheetah-v5,0,0.0060246836088953,0.9278076347410992,0.2111903993563216,2048.0,,,,,,-116.15468473333333,106.41221607911255,-517.3094828270009,87.58057018507272,401.1547980936677,3
HalfCheetah-v5,0,0.0035852208946822,0.8289674397365655,0.2616381612446543,128.0,,,,,,-322.54519346666666,161.34488375568594,-473.0357910369004,63.79229141849552,150.49059757023377,3
HalfCheetah-v5,0,0.0014377976422822,0.9562280285742571,0.1855445065333317,128.0,,,,,,195.6323776,171.6052047112561,-398.95334691029393,51.67086389357086,594.585724510294,3
HalfCheetah-v5,0,0.0074606126882347,0.9047317164634716,0.1878516450154012,1024.0,,,,,,-95.88507696666666,139.9387343321221,-452.4484030122828,49.89171995872045,356.5633260456161,3
